Wendy's groceries sales report,,,,,,,Legacy Liquor Store,,,,,,,,,,,,,,,,,,,,
"Txn Date [1/7/2016] To [31/12/2016]Category[] To [ZZ], Subcategory[] To [ZZZZ]Vendor[] To [ZZZZZZ]Item #[] To [ZZZZZZZZZZZZZZZZZZZZ]Salesperson [] To [ZZZZZZ]Based on Sales Amount>=-99999Item Status =  Active, Discontinued, Dormant, Future""Qty Sold"" Includes ""Kit Sold"" QtySort by Category/Subcategory, then by Item Description
",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,On Hand,,Combo packs sold,,,,,Qty Sold,,Gross Sales,,Discounts,,Net Sales,,COGS,,TOTAL LOGS,,Gross profit,,Profit Margin,,,,
Subcategory : 5090 ROSE WINES-FRA,,719,,0,,,,,134,,2 408.75,,10.31,,2 398.44,,1 703.90,,454.34,,240.20,,10.01,,,,
Subcategory : 5105 RED WINE-ARG,,548,,0,,,,,152,,2 317.67,,1.63,,2 316.04,,1 609.55,,429.18,,277.31,,11.97,,,,
Subcategory : 5110 RED WINE-AUS,,532,,0,,,,,44,,731.60,,0.00,,731.60,,497.22,,132.58,,101.80,,13.91,,,,
Subcategory : 5115 RED  BORDEAUX-FRA,,198,,0,,,,,13,,338.30,,0.00,,338.30,,226.32,,60.35,,51.63,,15.26,,,,
Subcategory : 5120 RED BURGUNDY-FRA,,77,,0,,,,,5,,163.61,,0.00,,163.61,,117.84,,31.42,,14.35,,8.77,,,,
Subcategory : 5125 RED-CAN,,2 696,,0,,,,,349,,8 128.47,,215.94,,7 912.53,,5 502.17,,1 467.14,,943.22,,11.92,,,,
Subcategory : 5130 RED WINE-CHL,,654,,0,,,,,111,,1 524.07,,2.03,,1 522.04,,1 019.90,,271.95,,230.19,,15.12,,,,
Subcategory : 5140 RED WINE-FRA,,514,,0,,,,,57,,1 017.13,,0.00,,1 017.13,,746.90,,199.16,,71.07,,6.99,,,,
Subcategory : 5145 REDWINE-GER,,5,,0,,,,,2,,37.14,,0.00,,37.14,,24.84,,6.62,,5.68,,15.28,,,,
Subcategory : 5150 RED WINE-GRE,,8,,0,,,,,0,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0,,,,
Subcategory : 5155 RED WINE-ITA,,1 240,,0,,,,,187,,3 903.87,,9.80,,3 894.07,,2 712.63,,723.32,,458.12,,11.76,,,,
