Sludinājumidatums_2,Ist.,m2,Stāvs,Stavs,Sērija,Cena,"Cena, m2",Ielas nosaukums,Ielas numurs,Iela full,Rajons,Merged,Year
"Dzīvoklis Jaunā projektā, Vecrīgā, lētāk kā aktīvajā Centrā. P",4,93,3/5,3,Jaun.,"185,200",1991.397849,Kungu,25,centrs Kungu 25,centrs,"Latvia, Riga, centrs Kungu 25",2019
"Trīs istabu dzīvoklis ar pilnu apdari jaunajā projektā ""Felicity",3,79,3/7,3,Jaun.,"197,000",2493.670886,Birznieka-Upīša,13,centrs Birznieka-Upīša 13,centrs,"Latvia, Riga, centrs Birznieka-Upīša 13",2019
Īpašnieks pārdod vienistabas dzīvokli. Dzīvojamā istaba ar starp,1,58,2/8,2,Jaun.,"83,000",1431.034483,Ganību d.,13k1,centrs Ganību d. 13k1,centrs,"Latvia, Riga, centrs Ganību d. 13k1",2019
Продаётся двухкомнатная квартира 71м2 в новом проекте на улице С,2,71,11/23,11,Jaun.,"135,000",1901.408451,Skanstes,29,centrs Skanstes 29,centrs,"Latvia, Riga, centrs Skanstes 29",2019
Plašs divu līmeņu dzīvoklis Rīgas centrā ar terasi. +Brīnišķ,5,226,6/7,6,Jaun.,"325,000",1438.053097,Indrānu,8,centrs Indrānu 8,centrs,"Latvia, Riga, centrs Indrānu 8",2019
Квартира в новом проекте - Strelnieku 7. Планировка: спальня,2,57,5/7,5,Jaun.,"162,000",2842.105263,Strēlnieku,7,centrs Strēlnieku 7,centrs,"Latvia, Riga, centrs Strēlnieku 7",2019
Nāc un apskati jau šobrīd 2 istabu dzīvokli. Logi ir vērsti uz A,2,56,2/5,2,Jaun.,"100,428",1793.357143,Briāna,4,centrs Briāna 4,centrs,"Latvia, Riga, centrs Briāna 4",2019
Pārdošanā 2- istabu dzīvoklis vienā no lieliskākajiem augstas kl,2,60,6/7,6,Jaun.,"188,783",3146.383333,Strēlnieku,7,centrs Strēlnieku 7,centrs,"Latvia, Riga, centrs Strēlnieku 7",2019
Projekta attīstītājs piedāvā iegādāties dzīvokli inovatīvā un mū,2,59,7/7,7,Jaun.,"132,000",2237.288136,Pulkv. Brieža,35,centrs Pulkv. Brieža 35,centrs,"Latvia, Riga, centrs Pulkv. Brieža 35",2019
Projekta attīstītājs piedāvā iegādāties dzīvokli inovatīvā un mū,1,37,6/7,6,Jaun.,"84,000",2270.27027,Pulkv. Brieža,35,centrs Pulkv. Brieža 35,centrs,"Latvia, Riga, centrs Pulkv. Brieža 35",2019
Pārdod dzīvokli bez apdares jaunajā premium klases projektā ar s,4,153,7/9,7,Jaun.,"222,000",1450.980392,Klijānu,16,centrs Klijānu 16,centrs,"Latvia, Riga, centrs Klijānu 16",2019
Individuāla rakstura un dizaina veidots dzīvoklis ar terasi 11.s,3,138,11/16,11,Jaun.,"187,000",1355.072464,Duntes,28,centrs Duntes 28,centrs,"Latvia, Riga, centrs Duntes 28",2019
Квартира в центре Риги в Новом проектe Kern Residence Описани,3,105,2/4,2,Jaun.,"289,000",2752.380952,Muitas,1,centrs Muitas 1,centrs,"Latvia, Riga, centrs Muitas 1",2019
3D презентация. Продается 3-х комнатная квартира в новом проек,3,107,4/7,4,Jaun.,"320,000",2990.654206,Republikas laukums,3,centrs Republikas laukums 3,centrs,"Latvia, Riga, centrs Republikas laukums 3",2019
"Pārdod ekskluzīvu, ļoti plašu, siltu un saulainu 4-istabu dzīvok",4,168,21/24,21,Jaun.,"320,000",1904.761905,Skanstes,29,centrs Skanstes 29,centrs,"Latvia, Riga, centrs Skanstes 29",2019
Tiek pārdots lielisks 3 istabu dzīvoklis jaunajā projektā centrā,3,66,4/6,4,Jaun.,"114,500",1734.848485,Alauksta,9,centrs Alauksta 9,centrs,"Latvia, Riga, centrs Alauksta 9",2019
Элит класса демо квартира с местом парковки а/м в подземном гара,2,67,3/4,3,Jaun.,"250,000",3731.343284,Citadeles,6,centrs Citadeles 6,centrs,"Latvia, Riga, centrs Citadeles 6",2019
"Divistabu dzīvoklis ar balto apdari renovētā, vēsturiskā ēkā. Na",2,33,3/5,3,Jaun.,"61,500",1863.636364,Valdemāra,69,centrs Valdemāra 69,centrs,"Latvia, Riga, centrs Valdemāra 69",2019
Piedāvājam iegādāties mēbelētu 4 istabu dzīvokli ar pazemes auto,4,110,8/8,8,Jaun.,"265,000",2409.090909,Grostonas,21,centrs Grostonas 21,centrs,"Latvia, Riga, centrs Grostonas 21",2019
"Plašs, pilnībā mēbelēts dzīvoklis ar balkonu. No dzīvokļa pavera",3,107,5/6,5,Jaun.,"365,000",3411.214953,Republikas laukums,3,centrs Republikas laukums 3,centrs,"Latvia, Riga, centrs Republikas laukums 3",2019
Latio vērtējums 137 000 Eur. Pārdod četristabu dzīvokli jaunajā,4,102,2/6,2,Jaun.,"119,900",1175.490196,Katrīnas d.,17,centrs Katrīnas d. 17,centrs,"Latvia, Riga, centrs Katrīnas d. 17",2019
Vērtējums 94 000 Eur. Pārdodam divistabu dzīvokli jaunajā projek,2,67,2/6,2,Jaun.,"79,900",1192.537313,Katrīnas d.,17,centrs Katrīnas d. 17,centrs,"Latvia, Riga, centrs Katrīnas d. 17",2019
"Pārdod jaunu, pilnībā aprīkotu un mēbelētu dzīvokli ar vienu guļ",3,91,6/9,6,Jaun.,"156,000",1714.285714,Klijānu,16,centrs Klijānu 16,centrs,"Latvia, Riga, centrs Klijānu 16",2019
2012.gadā celtā mājā tiek piedāvāts plašs 2-istabu dzīvoklis ar,2,67,2/5,2,Jaun.,"114,800",1713.432836,Tallinas,1,centrs Tallinas 1,centrs,"Latvia, Riga, centrs Tallinas 1",2019
Projekta attīstītājs piedāvā iegādāties dzīvokli inovatīvā un mū,3,73,3/7,3,Jaun.,"176,000",2410.958904,Pulkv. Brieža,35,centrs Pulkv. Brieža 35,centrs,"Latvia, Riga, centrs Pulkv. Brieža 35",2019
Pārdodam labiekārtotu 3 istabu dzīvokli jaunajā projektā Centra,3,118,4/7,4,Jaun.,"230,000",1949.152542,Republikas laukums,3,centrs Republikas laukums 3,centrs,"Latvia, Riga, centrs Republikas laukums 3",2019
Dzīvošanai gatavs pilnībā mēbelēts un aprīkots 3-istabu dzīvokli,3,76,3/7,3,Jaun.,"211,000",2776.315789,Birznieka-Upīša,13,centrs Birznieka-Upīša 13,centrs,"Latvia, Riga, centrs Birznieka-Upīša 13",2019
Piedāvājam dažāda veida dzīvokļus Valdemāra ielā 37 -būs pilnī,3,77,3/6,3,Jaun.,"153,800",1997.402597,Valdemāra,37,centrs Valdemāra 37,centrs,"Latvia, Riga, centrs Valdemāra 37",2019
Ir sākusies dzīvokļu rezervācija arhitekta G. Grabovska projektā,3,81,4/7,4,Jaun.,"186,900",2307.407407,Stabu,100,centrs Stabu 100,centrs,"Latvia, Riga, centrs Stabu 100",2019
Gaišs un plašs 2-istabu dzīvoklis jaunajā projektā Lāčplēša ielā,2,58,3/7,3,Jaun.,"212,750",3668.103448,Lāčplēša,11,centrs Lāčplēša 11,centrs,"Latvia, Riga, centrs Lāčplēša 11",2019
Apartamenti Skanste ir ideālā vieta dzīvošanai un atpūtai Rīgā.,2,64,6/24,6,Jaun.,"153,000",2390.625,Grostonas,25,centrs Grostonas 25,centrs,"Latvia, Riga, centrs Grostonas 25",2019
"Plašs, saulains divu istabu dzīvoklis ar pelēko apdari jaunajā p",2,55,4/7,4,Jaun.,"120,000",2181.818182,Birznieka-Upīša,13,centrs Birznieka-Upīša 13,centrs,"Latvia, Riga, centrs Birznieka-Upīša 13",2019
"Jauns, svaigs, pilnībā aprīkots dzīvoklis jaunajā projektā pašā",2,57,7/7,7,Jaun.,"140,000",2456.140351,Birznieka-Upīša,13,centrs Birznieka-Upīša 13,centrs,"Latvia, Riga, centrs Birznieka-Upīša 13",2019
"Plašs, aprīkots un gatavs dzīvošanai 4-istabu dzīvoklis jaunajā",4,142,5/7,5,Jaun.,"618,995",4359.119718,Lāčplēša,11,centrs Lāčplēša 11,centrs,"Latvia, Riga, centrs Lāčplēša 11",2019
Ir sākusies dzīvokļu rezervācija arhitekta G. Grabovska projektā,2,40,3/7,3,Jaun.,"94,164",2354.1,Stabu,100,centrs Stabu 100,centrs,"Latvia, Riga, centrs Stabu 100",2019
Шикарная двухэтажная квартира в проекте Aleksandra может стать В,3,90,3/6,3,Jaun.,"385,000",4277.777778,Ausekļa,4,centrs Ausekļa 4,centrs,"Latvia, Riga, centrs Ausekļa 4",2019
"Продаю просторную, светлую 2-комнатную квартиру в центре Риги. К",2,64,2/7,2,Jaun.,"120,500",1882.8125,Matīsa,69,centrs Matīsa 69,centrs,"Latvia, Riga, centrs Matīsa 69",2019
"Divu istabu dzīvoklis jaunajā projektā ""Felicity Apartments"". Iz",2,54,6/7,6,Jaun.,"137,000",2537.037037,Birznieka-Upīša,13,centrs Birznieka-Upīša 13,centrs,"Latvia, Riga, centrs Birznieka-Upīša 13",2019
Продается квартира в новом проекте “Skanstes mājas”. Высокое кач,2,63,5/8,5,Jaun.,"145,000",2301.587302,Grostonas,21,centrs Grostonas 21,centrs,"Latvia, Riga, centrs Grostonas 21",2019
Lat/rus/eng. Trīsistabu dzīvoklis ar jumta terasi un skatu uz ve,3,126,6/6,6,Jaun.,"290,000",2301.587302,Republikas laukums,3,centrs Republikas laukums 3,centrs,"Latvia, Riga, centrs Republikas laukums 3",2019
"Jauns - mājīgs, mēbelēts 3-istabu dzīvoklis jaunajā projektā Fel",3,79,2/7,2,Jaun.,"218,000",2759.493671,Birznieka-Upīša,13,centrs Birznieka-Upīša 13,centrs,"Latvia, Riga, centrs Birznieka-Upīša 13",2019
"Pārdod jaunu, pilnībā aprīkotu un mēbelētu dzīvokli ar divām guļ",3,47,5/9,5,Jaun.,"89,000",1893.617021,Klijānu,16,centrs Klijānu 16,centrs,"Latvia, Riga, centrs Klijānu 16",2019
Projekta attīstītājs pārdod elegantu 2 istabas dzīvokli kur plān,2,58,7/7,7,Jaun.,"130,000",2241.37931,Pulkv. Brieža,35,centrs Pulkv. Brieža 35,centrs,"Latvia, Riga, centrs Pulkv. Brieža 35",2019
Projekta attīstītājs piedāvā iegādāties dzīvokli inovatīvā un mū,3,73,4/7,4,Jaun.,"179,000",2452.054795,Pulkv. Brieža,35,centrs Pulkv. Brieža 35,centrs,"Latvia, Riga, centrs Pulkv. Brieža 35",2019
"Продаю 3-комнатную квартиру в центре, в лучшем новом проекте.",3,94,5/8,5,Jaun.,"210,000",2234.042553,Grostonas,17,centrs Grostonas 17,centrs,"Latvia, Riga, centrs Grostonas 17",2019
Pārdod plašu saulainu dzīvokli ar 126m2 jumtas terasi. Dzīvoklī,3,126,7/7,7,Jaun.,"290,000",2301.587302,Republikas laukums,3,centrs Republikas laukums 3,centrs,"Latvia, Riga, centrs Republikas laukums 3",2019
"Kvalitatīvs 2 istabu dzīvokli projektā ""Skanstes virsotnes"".",2,65,7/23,7,Jaun.,"130,000",2000,J. Daliņa,8,centrs J. Daliņa 8,centrs,"Latvia, Riga, centrs J. Daliņa 8",2019
"Filozofu Rezidence – tas ir veltījums topošajiem iedzīvotājiem,",3,91,10/23,10,Jaun.,"253,000",2780.21978,Valdemāra,33,centrs Valdemāra 33,centrs,"Latvia, Riga, centrs Valdemāra 33",2019
"Filozofu Rezidence – tas ir veltījums topošajiem iedzīvotājiem,",3,109,8/23,8,Jaun.,"269,000",2467.889908,Valdemāra,33,centrs Valdemāra 33,centrs,"Latvia, Riga, centrs Valdemāra 33",2019
"Резиденция Философов – это посвящение будущим жителям, каждый из",3,91,6/23,6,Jaun.,"200,000",2197.802198,Valdemāra,33,centrs Valdemāra 33,centrs,"Latvia, Riga, centrs Valdemāra 33",2019
Pēdējais trīs istabu dzīvoklis bez apdares jaunajā premium klase,3,80,5/7,5,Jaun.,"166,000",2075,Birznieka-Upīša,13,centrs Birznieka-Upīša 13,centrs,"Latvia, Riga, centrs Birznieka-Upīša 13",2019
Gatavs dzīvošanai dzīvoklis ar kvalitatīvu tehniku un mēbelēm.,4,87,2/7,2,Jaun.,"175,000",2011.494253,13. janvāra,21,centrs 13. janvāra 21,centrs,"Latvia, Riga, centrs 13. janvāra 21",2019
Īpašnieks pārdod plašu 3-istabu dzīvokli ar burvīgu skatu uz Rīg,3,111,5/6,5,Jaun.,"184,000",1657.657658,Indrānu,8,centrs Indrānu 8,centrs,"Latvia, Riga, centrs Indrānu 8",2019
Pārdod plašu un gaišu 3 istabu dzīvokli tālajā centrā. Dzīvoklis,3,120,4/8,4,Jaun.,"229,000",1908.333333,Nītaures,3,centrs Nītaures 3,centrs,"Latvia, Riga, centrs Nītaures 3",2019
Praktisks četristabu dzīvoklis Skanstes virsotnēs. Studio ti,4,105,4/24,4,Jaun.,"220,000",2095.238095,Skanstes,29a,centrs Skanstes 29a,centrs,"Latvia, Riga, centrs Skanstes 29a",2019
Plašs un gaišs studio tipa dzīvoklis pilsētas klusajā centrā. La,1,60,4/7,4,Jaun.,"185,000",3083.333333,Rūpniecības,21,centrs Rūpniecības 21,centrs,"Latvia, Riga, centrs Rūpniecības 21",2019
Pārdod dzīvokli bez apdares jaunajā premium klases projektā. Ņem,3,84,7/9,7,Jaun.,"119,000",1416.666667,Klijānu,16,centrs Klijānu 16,centrs,"Latvia, Riga, centrs Klijānu 16",2019
"""Skanstes virsotnes"" jaunajā projektā pārdod 2 istabu dzīvokli,",2,67,10/24,10,Jaun.,"125,000",1865.671642,Skanstes,29a,centrs Skanstes 29a,centrs,"Latvia, Riga, centrs Skanstes 29a",2019
Plašs un ļoti gaišs un saulains divu istabu dzīvoklis jaunajā pr,2,59,4/7,4,Jaun.,"157,000",2661.016949,Birznieka-Upīša,13,centrs Birznieka-Upīša 13,centrs,"Latvia, Riga, centrs Birznieka-Upīša 13",2019
Продается 2-комнатная квартира в элегантном новом проекте с отли,2,51,3/6,3,Jaun.,"110,000",2156.862745,11. novembra krastm.,1,centrs 11. novembra krastm. 1,centrs,"Latvia, Riga, centrs 11. novembra krastm. 1",2019
