Lapas numurs,Sludinājumidatums_2,Iela,Ist.,m2,Stāvs,Sērija,Veids,Cena,"Cena, m2",Ielas nosaukums,Ielas numurs,Adrese,Iela full,Rajons,Merged,Year
24,"Качество и комфорт. Квартира с косметическим ремонтом, не тр",,2,51,2/9,602.,Pardod,"53,900",1056.862745,Dzeņu,12,"Latvia, Riga,",Pļavnieki Dzeņu 12,Pļavnieki,"Latvia, Riga, Pļavnieki Dzeņu 12",2019
24,"Частично отремонтирована, можно с мебелью, встроенный шкаф-купе,",,2,44,4/5,LT proj.,Pardod,"49,900",1134.090909,Višķu,3,"Latvia, Riga,",Ķengarags Višķu 3,Ķengarags,"Latvia, Riga, Ķengarags Višķu 3",2019
24,"Iris Shampeteris Apartments piedāvā iespēju pirkt, lai izīrētu (",,2,58,1/3,Jaun.,Pardod,"90,450",1559.482759,Apuzes,51а,"Latvia, Riga,",Šampēteris-Pleskodāle Apuzes 51а,Šampēteris-Pleskodāle,"Latvia, Riga, Šampēteris-Pleskodāle Apuzes 51а",2019
24,Unikāls dzīvoklis ar divām iepējamām izolētām istabām. + Kār,,2,47,2/5,Hrušč.,Pardod,"34,900",742.5531915,Maskavas,256k6,"Latvia, Riga,",Ķengarags Maskavas 256k6,Ķengarags,"Latvia, Riga, Ķengarags Maskavas 256k6",2019
25,Pēc Pirmā pasaules kara apkaimi 1924. gadā iekļāva Rīgas pilsēta,,2,45,6/9,Specpr.,Pardod,"54,000",1200,Slāvu,17,"Latvia, Riga,",Ķengarags Slāvu 17,Ķengarags,"Latvia, Riga, Ķengarags Slāvu 17",2019
25,Pārdodu divistabu dzīvokli. Nav stūra. Netālu ezers mežs veikali,,2,45,1/5,LT proj.,Pardod,"39,000",866.6666667,Malienas,74,"Latvia, Riga,",Jugla Malienas 74,Jugla,"Latvia, Riga, Jugla Malienas 74",2019
25,"Mājīgs divu istabu dzīvoklis, abas istabas izolētas, logi uz die",,2,38,1/5,LT proj.,Pardod,"35,800",942.1052632,Vizlas,4,"Latvia, Riga,",Ķengarags Vizlas 4,Ķengarags,"Latvia, Riga, Ķengarags Vizlas 4",2019
25,"Ļoti silts, gaumīgi iekārtots 2 istabu dzīvoklis. Priekšnams n",,2,43,5/5,Hrušč.,Pardod,"40,000",930.2325581,Vangažu,19,"Latvia, Riga,",Jugla Vangažu 19,Jugla,"Latvia, Riga, Jugla Vangažu 19",2019
25,"Ēku kompleksā ""Purvciema Projekts"" pārdošanai tiek piedāvāts 2-i",,2,72,3/10,Jaun.,Pardod,"105,000",1458.333333,Pūces,47,"Latvia, Riga,",Purvciems Pūces 47,Purvciems,"Latvia, Riga, Purvciems Pūces 47",2019
26,"Продается 2-комнатная квартира в новом проекте, комфортная, полн",,2,68,2/5,Jaun.,Pardod,"93,700",1377.941176,Burtnieku,36A,"Latvia, Riga,",Purvciems Burtnieku 36A,Purvciems,"Latvia, Riga, Purvciems Burtnieku 36A",2019
26,Tiek pārdots divistabu dzīvoklis ar stiklotu lodžiju. Plaša vies,,2,102,5/9,Jaun.,Pardod,"130,000",1274.509804,Ciemupes,1,"Latvia, Riga,",Jugla Ciemupes 1,Jugla,"Latvia, Riga, Jugla Ciemupes 1",2019
26,Tiek pārdots 2-istabu dzīvoklis Pļavniekos 602 serija. Dzīvokl,,2,51,7/9,602.,Pardod,"57,500",1127.45098,Tīnūžu,10,"Latvia, Riga,",Pļavnieki Tīnūžu 10,Pļavnieki,"Latvia, Riga, Pļavnieki Tīnūžu 10",2019
26,Вы давно мечтаете жить в новом проекте? Тогда это предложение дл,,2,53,9/9,Jaun.,Pardod,"69,900",1318.867925,Spilves,21,"Latvia, Riga,",Iļģuciems Spilves 21,Iļģuciems,"Latvia, Riga, Iļģuciems Spilves 21",2019
26,"Pārdošanā divistabu dzīvoklis, jo pašiem nepieciešams plašāks. D",,2,51,2/9,602.,Pardod,"61,900",1213.72549,Ulbrokas,22,"Latvia, Riga,",Pļavnieki Ulbrokas 22,Pļavnieki,"Latvia, Riga, Pļavnieki Ulbrokas 22",2019
27,"Продается 2 - х комнатная квартирка, комнаты смежные, сан узел р",,2,52,2/5,103.,Pardod,"31,800",611.5384615,Rīnūžu,11,"Latvia, Riga,",Vecmīlgrāvis Rīnūžu 11,Vecmīlgrāvis,"Latvia, Riga, Vecmīlgrāvis Rīnūžu 11",2019
27,Продается уютная квартира с дизайнерским ремонтом. Удобное распо,,2,47,4/5,LT proj.,Pardod,"52,500",1117.021277,Maskavas,256/7,"Latvia, Riga,",Ķengarags Maskavas 256/7,Ķengarags,"Latvia, Riga, Ķengarags Maskavas 256/7",2019
27,Предлагаем квартиру номер 14 в новостройке дом С на улице Скрине,,2,67,1/3,Jaun.,Pardod,"102,762",1533.761194,Skrīnes,4,"Latvia, Riga,",Zolitūde Skrīnes 4,Zolitūde,"Latvia, Riga, Zolitūde Skrīnes 4",2019
